subject,run,trial,trial_type,congruency,accuracy_label,correctness,StimVar,behav_unlabeled,Rsponse,Stimulus,cond,label
sub-01,sub-01_task-simon_run-1_events.tsv,1,congruent_incorrect,congruent,incorrect,incorrect,incongruent,0,2,692,cond002,0
sub-01,sub-01_task-simon_run-1_events.tsv,2,incongruent_incorrect,incongruent,incorrect,incorrect,incongruent,0,2,692,cond004,1
sub-01,sub-01_task-simon_run-1_events.tsv,3,incongruent_correct,incongruent,correct,correct,incongruent,1,2,624,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,4,congruent_correct,congruent,correct,correct,congruent,1,1,1477,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,5,congruent_correct,congruent,correct,correct,congruent,1,1,578,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,6,incongruent_correct,incongruent,correct,correct,incongruent,1,2,510,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,7,incongruent_correct,incongruent,correct,correct,incongruent,1,2,468,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,8,incongruent_correct,incongruent,correct,correct,incongruent,1,2,609,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,9,incongruent_correct,incongruent,correct,correct,incongruent,1,2,462,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,10,congruent_correct,congruent,correct,correct,congruent,1,1,518,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,11,congruent_correct,congruent,correct,correct,congruent,1,1,343,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,12,congruent_correct,congruent,correct,correct,congruent,1,1,483,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,13,congruent_correct,congruent,correct,correct,congruent,1,1,345,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,14,congruent_correct,congruent,correct,correct,congruent,1,1,512,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,15,congruent_correct,congruent,correct,correct,congruent,1,1,436,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,16,incongruent_correct,incongruent,correct,correct,incongruent,1,2,490,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,17,incongruent_correct,incongruent,correct,correct,incongruent,1,2,383,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,18,congruent_correct,congruent,correct,correct,congruent,1,1,515,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,19,incongruent_correct,incongruent,correct,correct,incongruent,1,2,423,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,20,congruent_correct,congruent,correct,correct,congruent,1,1,517,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,21,incongruent_correct,incongruent,correct,correct,incongruent,1,2,425,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,22,incongruent_correct,incongruent,correct,correct,incongruent,1,2,382,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,23,incongruent_correct,incongruent,correct,correct,incongruent,1,2,412,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,24,congruent_correct,congruent,correct,correct,congruent,1,1,447,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,25,congruent_correct,congruent,correct,correct,congruent,1,1,396,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,26,congruent_correct,congruent,correct,correct,congruent,1,1,458,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,27,congruent_correct,congruent,correct,correct,congruent,1,1,311,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,28,congruent_correct,congruent,correct,correct,congruent,1,1,330,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,29,incongruent_incorrect,incongruent,incorrect,incorrect,incongruent,0,2,384,cond004,1
sub-01,sub-01_task-simon_run-1_events.tsv,30,incongruent_correct,incongruent,correct,correct,incongruent,1,2,467,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,31,congruent_correct,congruent,correct,correct,congruent,1,1,497,cond001,0
sub-01,sub-01_task-simon_run-1_events.tsv,32,incongruent_correct,incongruent,correct,correct,incongruent,1,2,444,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,33,incongruent_correct,incongruent,correct,correct,incongruent,1,2,402,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,34,incongruent_correct,incongruent,correct,correct,incongruent,1,2,358,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,35,incongruent_correct,incongruent,correct,correct,incongruent,1,2,370,cond003,1
sub-01,sub-01_task-simon_run-1_events.tsv,36,congruent_correct,congruent,correct,correct,congruent,1,1,417,cond001,0
